x,y,z
-0.034966573,0.020100070,-0.020298654
-0.011018568,-0.069329225,0.14528224
0.016568782,0.0064526857,-0.034257632
-0.060605336,0.013702291,0.018738257
0.047846194,0.10456409,0.053934574
-0.016663352,-0.10652731,-0.011235138
0.062230960,0.026974518,0.050117146
0.026196141,-0.047882918,0.14321910
0.062870532,0.019931318,0.070410214
0.0069684167,0.047147769,-0.034807701
-0.021867011,-0.036320433,-0.020097682
0.0074735139,-0.095826223,0.13431978
0.074445263,-0.032212000,0.076348573
-0.050429616,-0.072455421,0.12626894
0.046376683,-0.056709830,-0.016548341
0.053101141,0.091081098,0.060883921
0.040967781,0.067578144,0.033626266
0.018452551,0.078943528,-0.0032868648
-0.019930160,-0.065743148,-0.031509016
0.088676192,-0.031565998,0.073357336
0.057236694,-0.059467889,0.12241613
-0.023796318,-0.021513328,-0.021951169
0.022305634,0.089544177,0.027534507
-0.062773205,0.0051293029,0.083888248
0.011416518,0.081722483,-0.0031298632
-0.067598812,-0.014992435,0.024818592
-0.061902437,0.016720029,0.050735630
0.067662939,0.0015117612,0.078739457
-0.042348929,-0.010818304,0.12598526
-0.025022242,-0.051489018,-0.028325744
-0.042799432,0.069469288,0.099338956
-0.028077265,0.080863141,0.026226081
0.056100845,-0.068481550,0.0048092050
-0.0070463805,-0.081576847,-0.027313825
-0.043694314,0.018443046,0.10509323
-0.010030202,0.11401663,0.027540969
-0.057786170,-0.10954105,0.073394835
0.014799699,-0.024507251,0.14347351
0.075417772,-0.065555841,0.082668819
0.012376824,-0.10721307,-0.010298868
0.012162573,0.031066531,-0.033989970
-0.034368861,-0.12154552,0.090586051
-0.072675474,-0.081690393,0.080873013
0.050165836,0.058587536,0.050720539
-0.019215778,0.075727463,-0.016309677
-0.069000721,-0.061168183,0.10362238
0.069875434,0.013653867,0.050605346
-0.057420369,-0.00032126807,0.10224349
0.069458291,-0.018497555,0.095142551
-0.072082229,-0.052698839,0.097530805
-0.057868063,0.028735289,0.056879513
-5.02E+02,-0.10971056,-0.0096955309
0.045437783,0.061695628,0.037517685
-0.046308402,-0.026331579,0.12851273
0.061666127,0.016543491,0.020511560
0.052684773,-0.10794501,0.033062451
-0.013230364,0.040151589,-0.026599480
0.0066629178,0.015219129,-0.043426983
-0.020918312,0.039535817,-0.032154068
0.024823416,-0.076079704,-0.023981528
0.026319955,0.081120320,0.026814442
0.048005737,0.013918045,0.10615218
-0.078839533,-0.025659502,0.062052649
-0.073150359,-0.031772688,0.073062778
-0.0096493782,-0.12364193,0.10069488
-0.00096547022,-0.12475197,0.10007445
-0.038268533,0.071281813,0.034462851
-0.00025403625,-0.11974865,0.11016865
-0.060767673,0.0033348007,0.091529809
-0.043443602,0.0010944466,0.11879784
-0.053706802,0.054233577,0.062906742
0.060202431,-0.058404118,0.11881528
0.069427177,-0.040318940,0.10451012
-0.014560867,-0.10932749,-0.0085064927
-0.038195174,-0.026456757,-0.013588191
-0.042436540,0.044182528,-0.0028504836
0.026646420,0.0049096355,0.12835039
0.051719401,0.023421785,0.095512949
0.028150735,-0.085861251,-0.018726027
-0.016544940,0.068568364,-0.027236804
-0.066974483,-0.016906254,0.095778897
0.014402734,-0.020614477,0.14256796
-0.052797459,-0.11470760,0.064774908
-0.069636397,-0.091506019,0.055913839
0.044238240,0.0013678647,-0.012923460
-0.027966924,-0.12381440,0.028563188
-0.036531027,-0.054575127,0.13784714
-0.072390780,-0.085048176,0.077624746
-0.071088769,-0.014118223,0.060153093
-0.0075462502,0.10302507,0.021821581
0.054087698,-0.085490562,0.0096593788
-0.026019799,0.037227705,-0.026971051
-0.056965921,-0.10514957,0.092411630
0.076118343,-0.058008786,0.084214836
-0.065965861,-0.040138107,0.10899647
0.019947745,-0.058741901,-0.032129668
-0.034316279,-0.088103659,0.13079102
-0.070574187,-0.076909930,0.094349153
-0.0019338739,0.083788499,0.0095111933
0.055776957,-0.10808534,0.042289026
0.00070172007,-0.10377099,0.12906089
-0.038712401,0.074114881,0.038304996
0.082513176,0.0068152412,0.065256789
0.074063800,-0.045860622,0.059245173
0.075985886,-0.051504940,0.082433783
-0.074562706,-0.068846308,0.084189214
-0.014486627,0.033818003,-0.037073642
-0.068325758,-0.037162513,0.027499970
0.013707283,0.037862662,-0.027875355
0.019110048,0.10897008,0.032466073
-0.050857477,-0.067576967,-0.0056876582
-0.042045813,-0.031269614,0.13270333
0.037530977,-0.061014485,-0.022666814
0.031745367,-0.12688185,0.064396031
0.0062627923,0.037291989,-0.040823206
0.049602780,-0.098062940,0.11280040
0.039875422,-0.11666039,0.029012308
0.039618984,-0.083762571,0.13025522
0.066097416,0.012446619,0.053689770
-0.039147738,-0.12181874,0.041935820
-0.058005285,-0.0012884000,0.0035776517
0.035786789,-0.062294733,-0.023417890
-0.058421921,-0.063413106,0.11959543
0.013162894,-0.010423177,-0.032446045
0.0077260970,-0.078851201,-0.027832320
-0.048165217,-0.10712807,0.10273515
-0.045878537,0.081671804,0.049768735
0.059116699,0.0062186285,0.097099870
0.071737111,-0.030175880,0.047316510
0.028281856,0.042687710,-0.022987708
0.0044560367,-0.069316104,0.14606567
0.011296799,-0.12615567,0.023813348
0.046509385,0.071021006,0.096497335
0.038761422,0.065927118,0.017859865
-0.018759416,0.029349616,-0.026542868
0.024615074,0.11601082,0.037958194
0.0056273998,0.0081216209,0.13080250
-0.081979014,-0.036030889,0.060531236
0.071045205,-0.063402638,0.10074596
0.013450240,0.067903258,-0.026716499
0.015866341,0.060870759,0.12231006
0.034454975,-0.11288977,0.10753245
0.038850121,0.013696427,-0.017123450
0.073500186,-0.0025441297,0.056754429
-0.034575168,-0.12412342,0.041358594
0.067713827,-0.022084188,0.018187510
0.059276745,-0.085790224,0.019007098
-0.064807579,-0.032726415,0.015670324
0.026080938,-0.019252768,0.13901092
0.010706400,-0.024818532,-0.029996142
-0.054305986,0.019219974,0.0063241785
0.012141872,0.10841801,0.027634509
0.020623295,-0.12976491,0.051805556
-0.043716695,-0.095319144,-0.0025492425
-0.073011957,-0.083804019,0.071440019
0.072436988,-0.058179781,0.047228724
-0.047145497,-0.11485844,0.033582073
0.050274078,-0.044637550,-0.010417556
-0.0099458639,-0.082547821,0.14141811
0.068806604,0.0053134272,0.048442237
0.075842723,-0.062169556,0.081874073
-0.031203132,0.077518247,0.027505364
0.0055914251,-0.014489777,0.14211015
